rera_no,project_name,promoter,location,pincode,district,state,lat,lng,last_modified,details_url
P51700000002,UNNATHI WOODS PHASE VII A,UNNATHI ESTATES,Thane,400615,Thane,MAHARASHTRA,,,2018-04-12,https://maharerait.maharashtra.gov.in/public/project/view/3
P51700000001,MAYFAIR VISHWARAJA,MAYFAIR HOUSING PRIVATE LIMITED,Kalyan,421605,Thane,MAHARASHTRA,,,2017-05-09,https://maharerait.maharashtra.gov.in/public/project/view/4
P51700002065,MERIDIAN MYSTIC,MANOJ  AWASTHI,Thane,400706,Thane,MAHARASHTRA,,,2019-01-04,https://maharerait.maharashtra.gov.in/public/project/view/5
P51700001636,SAMRIDDHI,A G SUPERSTRUCTURES PVT LTD,Thane,401105,Thane,MAHARASHTRA,,,2021-09-09,https://maharerait.maharashtra.gov.in/public/project/view/25
P51700005959,nakshatra,Harshal Ramdas Navghare,Ambarnath,421503,Thane,MAHARASHTRA,,,2026-04-13,https://maharerait.maharashtra.gov.in/public/project/view/63
P51700002939,K T PREMIA,K T & CO,Bhiwandi,421302,Thane,MAHARASHTRA,,,2017-08-04,https://maharerait.maharashtra.gov.in/public/project/view/80
P51700000644,THANEKAR PARKLAND,AJAY MADHUKAR THANEKAR,Ambarnath,421503,Thane,MAHARASHTRA,,,2021-05-11,https://maharerait.maharashtra.gov.in/public/project/view/82
P51700000829,Mohan Areca,MOHAN LIFESPACES LLP,Ambarnath,421503,Thane,MAHARASHTRA,,,2021-09-08,https://maharerait.maharashtra.gov.in/public/project/view/138
P51700000053,GOLDSTAR DECENT HOMES,GOLDSTAR SANKALP CONSTRUCTION,Thane,401107,Thane,MAHARASHTRA,,,2019-01-09,https://maharerait.maharashtra.gov.in/public/project/view/166
P51700000095,Evergreen Heights,Vijay Vasudev Wadhwa,Thane,400605,Thane,MAHARASHTRA,,,2017-06-30,https://maharerait.maharashtra.gov.in/public/project/view/228
P51700000006,THE PALMS,METRO DEVELOPMENT,Thane,400706,Thane,MAHARASHTRA,,,2017-05-23,https://maharerait.maharashtra.gov.in/public/project/view/256
P51700002491,INDRAPRASTH WING C,SONAM SPARK INFRA PRIVATE LIMITED,Thane,401105,Thane,MAHARASHTRA,,,2017-08-01,https://maharerait.maharashtra.gov.in/public/project/view/380
P51700000624,KESHAV KUNJ IV,ASHA DEVELOPERS,Thane,400706,Thane,MAHARASHTRA,,,2017-07-18,https://maharerait.maharashtra.gov.in/public/project/view/579
P51700002027,Plan S Business Park,M/s. Vishwa Green Realtors Private Limited,Thane,400706,Thane,MAHARASHTRA,,,2017-07-31,https://maharerait.maharashtra.gov.in/public/project/view/766
P51700000009,N G Silver Spring,RNA Builders (NG),Thane,401107,Thane,MAHARASHTRA,,,2017-05-23,https://maharerait.maharashtra.gov.in/public/project/view/825
P51800003594,Bhavani Heights,Kalyani Enterprises,Ambarnath,421503,Thane,MAHARASHTRA,,,2017-10-10,https://maharerait.maharashtra.gov.in/public/project/view/894
P51700004413,GNP ARCADIA,PRIVA INFRACON,Kalyan,421202,Thane,MAHARASHTRA,,,2023-07-24,https://maharerait.maharashtra.gov.in/public/project/view/1196
P51700004200,GNP GALLERIA,Ganadhish GNP,Kalyan,421201,Thane,MAHARASHTRA,,,2020-02-01,https://maharerait.maharashtra.gov.in/public/project/view/1213
P51700007963,SOLITAIRE INDUSTRIAL ESTATE,Shelter Construction,Kalyan,421201,Thane,MAHARASHTRA,,,2017-08-18,https://maharerait.maharashtra.gov.in/public/project/view/1273
P51700000064,TULSI AAHAN,RAJ GROUP,Ambarnath,421503,Thane,MAHARASHTRA,,,2017-06-22,https://maharerait.maharashtra.gov.in/public/project/view/1283
P51800007505,PINE WOOD,RDC VENTURES,Thane,400615,Thane,MAHARASHTRA,,,2018-01-15,https://maharerait.maharashtra.gov.in/public/project/view/1415
P51700005257,VARSHA MEADOWS,JAYESH BUILDCON,Kalyan,421306,Thane,MAHARASHTRA,,,2021-11-22,https://maharerait.maharashtra.gov.in/public/project/view/1768
P51700001682,EKDANT DEVELOPERS,EKDANT DEVELOPERS,Kalyan,421201,Thane,MAHARASHTRA,,,2017-07-29,https://maharerait.maharashtra.gov.in/public/project/view/1843
P51700000258,LODHA SPLENDORA - PLATINO - B,MACROTECH DEVELOPERS LIMITED,Thane,400607,Thane,MAHARASHTRA,,,2018-09-28,https://maharerait.maharashtra.gov.in/public/project/view/1916
P51700008355,MIRADOR OASIS ESTATE PHASE 2,Mirador Construction Pvt Ltd,Shahapur,421601,Thane,MAHARASHTRA,,,2018-07-28,https://maharerait.maharashtra.gov.in/public/project/view/2002
P51700008448,PRATHAM HEIGHTS,PRATHAM INFRASTRUCTURE,Thane,401107,Thane,MAHARASHTRA,,,2017-08-19,https://maharerait.maharashtra.gov.in/public/project/view/2025
P51700000327,Omkar Heights,Swati Enterprises,Kalyan,421605,Thane,MAHARASHTRA,,,2017-07-15,https://maharerait.maharashtra.gov.in/public/project/view/2055
P51700002467,Virat Vastu,SHREEJI REALTY,Kalyan,421102,Thane,MAHARASHTRA,,,2017-08-01,https://maharerait.maharashtra.gov.in/public/project/view/2078
